Country,Continent,Quantity
Italy,Europe,49843
France,Europe,45590
Spain,Europe,35703
United States of America,America,22385
Australia,Oceania,12745
Chile,America,12444
Argentina,America,11451
South Africa,Africa,10155
Germany,Europe,8940
Portugal,Europe,6777
Russia,Europe,4700
China,Asia,4182
New Zealand,Oceania,3830
Romania,Europe,3788
Brazil,America,3200
Hungary,Europe,2900
Austria,Europe,2527
Georgia,Europe,2135
Greece,Europe,2127
Moldova,Europe,1400
Switzerland,Europe,992
Macedonia,Europe,936
Japan,Asia,830
Peru,America,810
Uruguay,America,756
Bulgaria,Europe,747
Canada,America,692
Ukraine,Europe,660
Turkey,Asia,622
Czechia,Europe,586
Croatia,Europe,561
Slovenia,Europe,546
Kazakhstan,Asia,445
Israel,Asia,430
Morocco,Africa,418
Turkmenistan,Asia,400
Mexico,America,396
Tunisia,Africa,370
Belarus,Europe,340
Slovakia,Europe,334
Albania,Europe,228
Uzbekistan,Asia,216
Algeria,Africa,193
India,Asia,180
United Kingdom,Europe,91
Luxembourg,Europe,85
Cyprus,Europe,79
Lithuania,Europe,32
Belgium,Europe,30
Malta,Europe,13
Netherlands,Europe,10
Poland,Europe,5
Denmark,Europe,1